uuid,name,description,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11
4b23dc0e-3ae0-4d41-8546-35797063e123,Avni - JSS Registration Form,Avni Registration Form sections,Concept Details,Avni - JSS Registration Form,Avni - Personal Details,Avni - Individual Information,Avni - Socio-Economic Details,,,,,,,,
2be450be-35db-47a6-a85e-5f1feb6f44cf,Avni - Personal Details,Personal Details concepts,Concept Details,Avni - Personal Details,Avni - Birth Order,Avni - Father's Name,Avni - Father's Occupation,Avni - Mother's Name,Avni - Mother's Occupation,Avni - Father's Education Level,Avni - Mother's Education Level,Avni - Caste Category,Avni - Sub Caste,Avni - Other Sub Caste,Avni - Religion
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Avni - Individual Information,Individual Information concepts,Concept Details,Avni - Individual Information,Avni - Aadhaar ID,Avni - Contact Number,Avni - Date of Marriage,Avni - Education,Avni - Occupation,Avni - Other Occupation,Avni - Marital Status,Avni - Father/Husband's Name,Avni - First Name (Hindi),Avni - Last Name (Hindi),Avni - Individual Id
c3d4e5f6-a7b8-9012-cdef-234567890abc,Avni - Individual Information 2,Individual Information concepts continued,Concept Details,Avni - Individual Info 2,Avni - Relation to Head of Household,Avni - Whether Any Disability,Avni - Type of Disability,Avni - Status of Individual,Avni - Electricity in House,Avni - Smart Card (Insurance),Avni - Is Sterilization Done,Avni - Non Programme Village Name,,,
b2c3d4e5-f6a7-8901-bcde-f12345678901,Avni - Socio-Economic Details,Socio-Economic concepts,Concept Details,Avni - Socio-Economic Details,Avni - Ration Card,Avni - Land Possession,Avni - Land Area,Avni - Property,Avni - Other Property,Avni - Type of Residence,,,,,
